pension_moyenne,Femmes,Hommes,Ensemble,nombre_personnes,depense
50,2.48,4.73,3.56,601640.0,360984000.0
150,5.62,2.71,4.22,713180.0,1283724000.0
250,6.31,1.65,4.07,687830.0000000001,2063490000.0000005
350,5.93,1.35,3.73,630370.0,2647554000.0
450,5.05,1.12,3.17,535730.0,2892942000.0
550,5.19,1.16,3.26,550940.0,3636204000.0
650,5.49,1.40,3.52,594880.0,4640064000.0
750,6.12,1.96,4.12,696280.0,6266520000.0
850,7.48,3.56,5.60,946399.9999999999,9653279999.999998
950,5.77,3.71,4.78,807820.0,9209148000.0
1050,4.35,3.54,3.96,669240.0,8432424000.0
1150,4.42,3.88,4.16,703040.0000000001,9701952000.000002
1250,4.00,4.32,4.15,701350.0,10520250000.0
1350,3.83,4.71,4.26,719940.0,11663028000.0
1450,3.32,5.13,4.19,708110.0000000001,12321114000.000002
1550,2.98,5.11,4.00,676000.0,12573600000.0
1650,2.46,4.82,3.60,608400.0000000001,12046320000.000004
1750,2.32,4.41,3.33,562770.0,11818170000.0
1850,2.28,4.18,3.19,539110.0,11968242000.0
1950,2.17,3.76,2.93,495170.00000000006,11586978000.000002
2050,1.96,3.40,2.65,447850.0,11017110000.0
2150,1.74,3.23,2.45,414050.0,10682490000.0
2250,1.45,2.82,2.11,356590.0,9627930000.0
2350,1.29,2.51,1.87,316030.0,8912046000.0
2450,1.04,2.19,1.59,268710.0,7900074000.0
2550,0.81,2.03,1.40,236599.99999999997,7239959999.999998
2650,0.72,1.76,1.22,206180.0,6556524000.0
2750,0.63,1.53,1.06,179140.0,5911620000.0
2850,0.47,1.39,0.91,153790.0,5259618000.0
2950,0.39,1.19,0.78,131820.0,4666428000.0
3050,0.31,1.07,0.67,113230.0,4144218000.0
3150,0.27,0.95,0.59,99710.0,3769038000.0
3250,0.20,0.84,0.51,86190.0,3361410000.0
3350,0.16,0.75,0.44,74360.0,2989272000.0
3450,0.11,0.63,0.36,60840.0,2518776000.0
3550,0.12,0.56,0.33,55770.00000000001,2375802000.0000005
3650,0.10,0.51,0.30,50700.0,2220660000.0
3750,0.11,0.49,0.29,49010.0,2205450000.0
3850,0.08,0.42,0.24,40560.0,1873872000.0
3950,0.07,0.37,0.21,35490.0,1682226000.0
4050,0.05,0.34,0.19,32110.0,1560546000.0
4150,0.04,0.30,0.16,27040.0,1346592000.0
4250,0.04,0.25,0.14,23660.000000000004,1206660000.0000002
4350,0.04,0.26,0.15,25350.0,1323270000.0
4450,0.03,0.23,0.12,20280.0,1082952000.0
>4500,0.21,2.77,1.44,243360.0,28179468000.0
